Hotel name,City,Price(BAM),Hotel star rating,Customer rating
Academia,Zagreb,190,4,8.9
Adora Hotel,Ljubljana,120,3,9.0
Allegro Hotel,Ljubljana,106,4,8.5
Atelier Hotel ,Ljubljana,100,3,8.9
Austria Trend Hotel,Ljubljana,137,4,8.8
B&B Hotel Ljubljana Park,Ljubljana,113,3,8.3
Best Western Premier Hotel Slon,Ljubljana,464,4,8.8
Best western,Zagreb,212,3,8.9
Bit Center Hotel,Ljubljana,109,2,7.7
Boutique,Sarajevo,274,4,8.7
Bristol,Sarajevo,88,4,8.7
Brkic,Sarajevo,59,2,6.5
City Code Exclusive ,Belgrade,80,4,8.9
City Hotel Ljubljana,Ljubljana,148,3,9.1
Double tree,Zagreb,226,5,8.7
Dubrovnik,Zagreb,217,4,9.0
Envoy Hotel,Belgrade,176,4,9.5
Esplanade,Zagreb,296,5,9.3
Europe,Sarajevo,187,5,8.3
Fala,Zagreb,147,2,8.0
Falkensteiner Hotel,Belgrade,219,4,9.3
Forty two,Zagreb,166,3,8.4
Four Points by Sheraton Ljubljana Mons ,Ljubljana,194,4,8.7
Garden,Zagreb,158,4,8.3
Garni Hotel Apart K ,Belgrade,67,3,8.8
Grand,Sarajevo,98,3,7.9
Grand Hotel Union,Ljubljana,208,4,9.0
Hayat,Sarajevo,78,3,7.1
Hills,Sarajevo,255,5,8.5
Hilton Belgrade ,Belgrade,474,4,9.4
Holiday inn,Sarajevo,283,4,8.4
Hollywood,Sarajevo,169,4,7.9
Hotel Avalon Garni ,Belgrade,137,4,8.6
Hotel Bohemian Garni - Skadarlija,Belgrade,58,3,8.8
Hotel Center Ljubljana ,Ljubljana,117,3,8.9
Hotel Elegance,Belgrade,53,3,8.8
Hotel Emonec ,Ljubljana,147,3,8.6
Hotel Lev,Ljubljana,343,4,8.7
Hotel Majestic,Belgrade,98,4,8.7
Hotel Moskva,Belgrade,155,4,9.0
Hotel Mrak,Ljubljana,139,3,8.7
Hotel Nox,Ljubljana,160,4,9.2
Hotel N ,Belgrade,176,3,7.8
Hotel Rex ,Belgrade,74,3,8.2
Hotel Union,Belgrade,49,3,8.9
Hotel Vila Katrca,Ljubljana,112,3,9.0
Hyatt,Belgrade,284,5,8.9
In Hotel ,Belgrade,160,4,9.0
International,Zagreb,253,4,8.7
M Hotel,Ljubljana,123,4,8.4
Mama Shelter Belgrade ,Belgrade,174,4,9.2
Metropol palace,Belgrade,211,5,8.8
Old town,Sarajevo,176,3,9.4
Opal home,Sarajevo,112,4,8.9
Orient ekspres,Zagreb,178,3,8.4
Palace,Zagreb,178,4,8.8
Public House Hotel ,Belgrade,201,4,9.5
Radisson Blu Plaza Hotel Ljubljana,Ljubljana,280,4,8.9
Radon plaza,Sarajevo,244,5,8.6
Rebro,Zagreb,189,3,8.7
Riverside residence,Sarajevo,135,4,9.4
Room 25 Belgrade ,Belgrade,93,4,9.7
Ruža,Sarajevo,212,3,9.3
Saint Ten Hotel,Belgrade,272,5,9.4
Saraj,Sarajevo,147,3,7.9
Square nine,Belgrade,472,5,9.5
The loop,Zagreb,95,3,9.1
Tullip Inn Putnik,Belgrade,108,3,8.2
Vander Urbani Resort - Member of Design Hotels,Ljubljana,166,4,9.7
Viena,Zagreb,164,3,8.0
WUD Hotel,Ljubljana,121,3,8.9
Zagreb,Zagreb,158,2,6.9
intercontinental,Ljubljana,241,5,9.0
uHotel,Ljubljana,161,4,9.0
