Section,Score
A,54.5
D,62.0
B,23.5
B,44.5
C,40.5
A,36.5
D,62.5
B,49.5
C,39.5
C,59.5
A,57.0
C,31.5
B,33.0
A,25.5
B,35.5
A,58.0
B,65.5
B,58.5
C,33.5
A,66.5
A,70.0
A,49.5
C,48.5
A,69.5
C,67.5
C,59.0
A,30.5
A,57.0
C,68.0
A,71.5
B,40.0
C,59.5
D,67.5
A,31.5
A,56.5
D,67.0
A,33.5
C,50.0
C,63.5
A,73.5
D,16.5
A,45.5
B,24.0
B,41.0
B,56.0
A,50.0
A,48.5
C,36.5
C,26.5
B,54.5
B,23.5
C,73.5
A,57.0
D,54.0
C,41.5
A,52.0
A,58.5
B,56.5
C,40.0
B,65.5
D,39.5
B,30.5
B,73.0
B,73.5
C,63.0
B,46.5
D,33.0
D,29.0
A,71.5
B,38.5
A,48.0
C,55.0
A,68.5
A,71.5
A,57.5
C,52.5
A,58.5
B,24.5
D,57.0
C,72.5
B,64.5
A,39.5
A,40.0
D,61.5
C,32.5
C,53.5
A,52.0
D,58.5
C,43.5
C,36.5
B,61.5
A,52.5
C,64.5
C,48.0
B,57.5
C,48.5
D,50.0
C,52.5
B,57.5
B,39.0
A,54.5
B,62.0
B,18.5
B,50.5
B,54.0
B,51.5
C,61.5
B,46.5
B,29.5
B,40.5
C,48.0
A,42.5
D,39.5
A,47.5
D,62.5
B,48.5
C,41.5
A,31.5
D,54.5
C,35.5
D,35.5
C,46.5
C,66.0
B,20.5
C,39.0
D,76.5
C,23.0
A,58.5
C,34.5
D,39.5
B,63.5
C,33.5
A,46.5
B,49.0
A,49.0
A,57.5
B,67.0
D,38.0
D,27.5
D,74.5
A,45.0
A,52.5
D,72.5
B,53.5
A,63.0
A,77.0
A,64.5
C,22.0
C,25.0
B,43.5
D,77.0
A,24.5
C,35.0
A,45.0
B,42.5
C,31.0
D,58.5
A,61.0
C,33.5
C,44.5
C,14.5
C,59.5
A,55.5
B,63.0
A,62.5
B,73.5
C,44.0
B,58.0
B,71.5
A,37.0
C,30.5
B,41.5
D,31.5
B,42.5
C,52.5
C,45.0
A,42.0
C,38.0
B,29.5
D,54.0
C,17.5
B,67.5
A,55.5
C,59.5
B,58.5
C,54.5
A,51.5
D,33.5
D,51.0
C,41.5
B,69.5
B,51.0
A,53.5
D,40.0
C,72.5
B,38.0
C,40.0
B,42.5
B,25.5
C,42.5
C,45.5
C,25.5
C,35.5
B,42.0
A,71.5
A,36.5
C,57.5
B,59.0
B,39.5
D,30.0
D,59.5
A,60.5
B,19.5
B,36.5
C,51.5
C,54.0
A,66.5
A,63.5
A,44.0
B,54.5
D,52.5
C,76.5
B,34.0
B,53.5
D,74.5
C,53.0
A,30.0
B,73.0
B,61.5
C,33.0
A,48.0
D,35.0
C,27.0
C,41.5
D,59.0
C,58.0
B,62.0
B,63.0
A,34.5
C,59.5
C,74.5
A,54.0
B,56.0
A,53.5
C,30.5
B,54.5
A,60.0
A,40.5
A,40.5
D,64.5
A,49.0
A,55.0
A,55.5
C,44.0
B,75.5
A,38.5
A,27.0
C,32.5
A,52.5
B,35.0
B,39.5
C,58.5
A,60.5
B,62.5
C,63.5
C,26.0
C,50.5
A,46.0
D,31.5
B,41.5
D,65.5
B,67.5
D,47.5
C,31.5
B,68.5
B,50.5
B,33.0
C,49.5
B,33.5
A,45.0
D,37.0
A,40.5
B,62.5
A,46.5
A,45.5
B,69.5
B,62.5
A,44.5
D,62.5
B,44.5
B,64.5
A,56.5
A,69.0
B,57.5
A,24.5
C,43.0
D,38.5
A,51.0
B,62.5
B,72.5
B,15.5
C,24.0
C,60.5
A,60.5
A,53.0
A,38.5
B,67.5
A,58.5
C,66.0
C,47.0
B,61.5
A,63.5
C,29.5
B,63.5
C,39.5
B,69.5
C,57.0
A,47.5
A,19.5
D,67.5
B,53.5
A,55.5
A,64.5
A,35.5
D,54.0
A,50.5
A,50.5
B,31.5
D,57.0
C,67.0
A,71.5
B,59.5
C,33.0
D,50.5
A,51.5
C,57.5
B,24.5
A,55.5
B,52.0
A,60.0
A,74.5
C,25.5
A,63.0
A,65.5
A,33.0
C,38.5
D,43.5
C,32.5
C,26.0
D,28.5
D,55.5
C,31.0
B,60.5
B,53.0
C,40.5
A,43.5
C,36.0
A,45.5
A,26.0
C,47.0
A,43.5
C,53.5
D,64.5
B,23.0
B,55.5
C,73.0
C,56.5
A,45.0
B,51.5
A,28.5
C,27.5
B,32.5
B,62.0
B,29.5
B,37.0
C,77.0
A,76.5
A,55.5
B,69.5
A,71.5
D,21.5
B,28.0
A,53.5
B,64.5
C,63.5
B,35.0
B,59.0
A,69.0
B,20.5
B,41.0
C,62.5
B,47.5
D,72.5
